"回","地区","キャンパスコード","ロボットコード","進出ケース","辞退","メモ"
"4","1","1020","104110201","2","false",""
"4","2","2070","104220702","2","false",""
"4","2","2080","104220801","2","false",""
"4","5","5350","104553502","1","false",""
"4","5","5380","104553802","2","false","1991年ルール「全国大会出場は優勝、準優勝、アイディア賞のマシン」"
"4","5","5400","104554001","2","false","1991年ルール「全国大会出場は優勝、準優勝、アイディア賞のマシン」"
"4","7","7540","104775401","2","false",""
"5","2","2070","105220702","2","false",""
"5","2","2080","105220801","1","false",""
"5","5","5340","105553402","1","false",""
"5","5","5380","105553802","2","false","1992年ルール「全国大会出場は優勝、準優勝、アイディア賞のマシン」"
"5","5","5400","105554001","2","false","1992年ルール「全国大会出場は優勝、準優勝、アイディア賞のマシン」"
"6","1","1010","106110102","1","false",""
"6","5","5380","106553802","2","false",""
"6","5","5400","106554002","1","false",""
"7","2","2070","107220702","2","false",""
"7","5","5370","107553701","1","false",""
"7","5","5380","107553801","2","false",""
"7","7","7540","107775401","1","false",""
"8","2","2070","108220702","2","false",""
"8","5","5340","108553402","1","false",""
"8","5","5360","108553601","2","false",""
"8","5","5370","108553701","2","false",""
"9","5","5340","109553402","2","false",""
"9","5","5360","109553601","1","false",""
"9","5","5370","109553701","2","false",""
"10","2","2080","110220802","1","false",""
"10","5","5340","110553402","2","false",""
"10","5","5350","110553502","2","false",""
"10","5","5400","110554001","1","false",""
"11","1","1010","111110101","2","false",""
"11","5","5350","111553502","2","false",""
"11","5","5380","111553801","1","false",""
"11","5","5390","111553902","2","false",""
"12","5","5350","112553502","2","false",""
"12","5","5360","112553602","2","false",""
"12","5","5370","112553701","1","false",""
"13","1","1010","113110101","1","false",""
"13","2","2070","113220702","1","false",""
"13","2","2080","113220802","2","false",""
"13","5","5340","113553401","2","false",""
"13","5","5350","113553502","2","false",""
"13","5","5400","113554001","1","false",""
"14","5","5340","114553402","2","false",""
"14","5","5350","114553501","1","false",""
"14","5","5400","114554002","2","false",""
"15","5","5350","115553501","2","false",""
"15","5","5370","115553701","1","false",""
"15","5","5390","115553901","2","false",""
"16","1","1010","116110101","1","false",""
"16","2","2080","116220801","1","false",""
"16","5","5340","116553402","1","false",""
"16","5","5370","116553702","2","false",""
"16","5","5380","116553801","2","false",""
"17","1","1010","117110102","2","false",""
"17","2","2080","117220801","2","false",""
"17","5","5380","117553801","2","false",""
"17","5","5390","117553902","1","false",""
"17","5","5400","117554001","2","false",""
"18","5","5340","118553402","2","false",""
"18","5","5350","118553501","2","false",""
"18","5","5360","118553601","1","false",""
"19","1","1010","119110101","1","false",""
"19","2","2070","119220701","1","false",""
"19","2","2080","119220802","2","false",""
"19","5","5350","119553502","1","false",""
"19","5","5390","119553901","2","false",""
"19","5","5400","119554001","2","false",""
"20","1","1010","120110101","1","false",""
"20","2","2080","120220801","2","false",""
"20","5","5340","120553402","2","false",""
"20","5","5350","120553502","2","false",""
"20","5","5400","120554001","1","false",""
"21","2","2080","121220802","1","false",""
"21","5","5340","121553401","2","false",""
"21","5","5380","121553802","1","false",""
"21","5","5400","121554001","2","false",""
"22","1","1010","122110102","2","false",""
"22","2","2080","122220802","2","false",""
"22","5","5340","122553402","2","false",""
"22","5","5350","122553502","2","false",""
"22","5","5400","122554001","1","false",""
"22","7","7540","122775401","2","false",""
"23","1","1010","123110102","1","false",""
"23","5","5340","123553401","2","false",""
"23","5","5380","123553801","2","false",""
"23","5","5400","123554001","1","false",""
"24","2","2080","124220802","2","false",""
"24","5","5350","124553501","2","false",""
"24","5","5380","124553801","1","false",""
"24","5","5400","124554002","2","false",""
"24","7","7540","124775402","2","false",""
"25","1","1010","125110102","1","false",""
"25","2","2080","125220801","1","false",""
"25","5","5350","125553501","2","false",""
"25","5","5380","125553801","2","false",""
"25","5","5400","125554002","1","false",""
"25","7","7540","125775402","1","false",""
"26","1","1010","126110102","1","false",""
"26","2","2080","126220801","2","false",""
"26","5","5360","126553601","2","false",""
"26","5","5380","126553801","1","false",""
"26","5","5400","126554001","2","false",""
"27","1","1010","127110101","1","false",""
"27","3","3170","127331702","1","false",""
"27","3","3190","127331902","2","false",""
"27","3","3200","127332001","2","false",""
"27","3","3230","127332301","2","false",""
"27","5","5340","127553401","2","false",""
"27","5","5370","127553701","1","false",""
"27","5","5400","127554001","2","false",""
"27","7","7540","127775401","2","false",""
"28","1","1010","128110101","1","false",""
"28","2","2070","128220701","2","false",""
"28","2","2080","128220802","1","false",""
"28","5","5360","128553601","1","false",""
"28","5","5380","128553801","2","false",""
"28","5","5400","128554001","2","false",""
"29","1","1010","129110101","1","false",""
"29","2","2080","129220802","1","false",""
"29","5","5340","129553401","2","false",""
"29","5","5360","129553602","2","false",""
"29","5","5380","129553801","1","false",""
"30","1","1010","130110101","1","false",""
"30","2","2070","130220701","2","false",""
"30","2","2080","130220801","1","false",""
"30","5","5340","130553401","2","false",""
"30","5","5370","130553701","2","false",""
"30","5","5380","130553801","1","false",""
