"試合コード","試合番号（再試合）","属性(JSON)"
"1291101","1","{""robot_code"":""129110502-129110401"",""height"":""0-0"",""jury_votes"":""3-0"",""progress"":""灯台-なし""}"
"1291102","1","{""robot_code"":""129110201-129110102"",""height"":""0-0"",""jury_votes"":""2-1"",""progress"":""灯台-灯台"",""memo"":""釧路は旭川より灯台完成が早かった。""}"
"1298201","1","{""robot_code"":""129886301-129885902"",""height"":""20-0""}"
"1298301","1","{""robot_code"":""129886301-129885702"",""height"":""40-120""}"
"1298205","1","{""robot_code"":""129885501-129885702"",""height"":""0-90""}"
"1298101","1","{""robot_code"":""129885702-129886101"",""height"":""120-0""}"
"1298102","1","{""robot_code"":""129886002-129885601"",""height"":""0-0"",""jury_votes"":""0-3""}"
"1298206","1","{""robot_code"":""129885601-129885802"",""height"":""0-20""}"
"1298302","1","{""robot_code"":""129885802-129886202"",""height"":""120-0""}"
"1298202","1","{""robot_code"":""129886202-129886401"",""height"":""20-0""}"
"1298203","1","{""robot_code"":""129885502-129886102"",""height"":""160-0""}"
"1298303","1","{""robot_code"":""129885502-129885801"",""height"":""120-60""}"
"1298207","1","{""robot_code"":""129885602-129885801"",""height"":""0-80""}"
"1298103","1","{""robot_code"":""129885801-129886001"",""height"":""80-0""}"
"1298104","1","{""robot_code"":""129885901-129886402"",""height"":""0-0"",""jury_votes"":""3-0""}"
"1298208","1","{""robot_code"":""129885901-129886201"",""height"":""0-0"",""jury_votes"":""0-3""}"
"1298304","1","{""robot_code"":""129886201-129885701"",""height"":""20-150""}"
"1298204","1","{""robot_code"":""129885701-129886302"",""height"":""120-0""}"
"1295102","1","{""robot_code"":""129553401-129553902"",""height"":""80-0"",""progress"":""砦建築-灯台なし""}"
"1295301","1","{""robot_code"":""129553401-129553802"",""height"":""120-0"",""progress"":""砦建築-島到達""}"
"1295401","1","{""robot_code"":""129553801-129553401"",""height"":""160-120"",""progress"":""砦建築-砦建築""}"
"1295202","1","{""robot_code"":""129553401-129553601"",""height"":""120-80"",""progress"":""砦建築-砦建築""}"
"1290204","1","{""robot_code"":""129553501-129553602"",""height"":""40-160"",""progress"":""砦建築-砦建築""}"
"1295001","1","{""robot_code"":""129553502-129553802"",""height"":""0-120"",""progress"":""灯台建築-砦建築""}"
"1295103","1","{""robot_code"":""129553601-129553702"",""height"":""80-0"",""progress"":""砦建築-灯台なし""}"
"1295302","1","{""robot_code"":""129553801-129553602"",""height"":""160-0"",""progress"":""灯台建築-砦建築""}"
