"大会回","地区コード","キャンパスコード","ロボットコード","受賞コード"
"1","0","2080","101220801","11"
"1","0","3130","101331301","21"
"1","0","3190","101331901","12"
"1","0","4300","101443001","1"
"1","0","6410","101664101","11"
"1","0","8560","101885601","2"
"2","0","2120","102221201","12"
"2","0","3130","102331301","12"
"2","0","4320","102443201","11"
"2","0","7510","102775101","2"
"2","0","8560","102885601","1"
"2","0","8590","102885901","3"
"2","0","8590","102885901","13"
"3","0","2100","103221001","1"
"3","0","3150","103331501","12"
"3","0","3210","103332101","3"
"3","0","3210","103332101","13"
"3","0","4310","103443101","12"
"3","0","6410","103664101","11"
"3","0","8560","103885601","2"
"3","0","8590","103885901","3"
"3","0","8610","103886101","12"
"4","6","6460","104664601","1"
"4","1","1010","104110102","3"
"4","1","1010","104110101","3"
"4","0","2060","104220601","11"
"4","0","2080","104220801","13"
"4","0","3190","104331902","1"
"4","0","4300","104443002","12"
"4","0","4330","104443302","13"
"4","0","6460","104664601","2"
"4","0","8580","104885801","12"
"4","0","9650","104996501","11"
"5","1","1010","105110102","3"
"5","0","2060","105220601","13"
"5","0","2080","105220801","1"
"5","0","2090","105220902","12"
"5","0","4290","105442901","2"
"5","0","4330","105443302","12"
"5","0","6460","105664601","11"
"5","0","8580","105885802","13"
"5","0","8590","105885901","11"
"5","0","8620","105886201","14"
"5","0","9650","105996501","4"
"6","8","8600","106886001","1"
"6","8","8610","106886101","2"
"6","1","1010","106110102","1"
"6","1","1010","106110101","2"
"6","0","1010","106110102","1"
"6","0","2090","106220902","12"
"6","0","4270","106442702","13"
"6","0","4280","106442801","14"
"6","0","4310","106443102","11"
"6","0","5380","106553802","12"
"6","0","8600","106886001","4"
"6","0","8610","106886101","2"
"7","8","8600","107886001","1"
"7","8","8610","107886101","13"
"7","0","2070","107220702","13"
"7","0","2090","107220902","12"
"7","0","4280","107442801","12"
"7","0","4310","107443102","1"
"7","0","5370","107553701","3"
"7","0","5380","107553801","2"
"7","0","5380","107553801","14"
"7","0","6460","107664601","3"
"7","0","8620","107886201","11"
"8","8","8610","108886101","11"
"8","0","1020","108110202","12"
"8","0","3170","108331702","13"
"8","0","3180","108331802","1"
"8","0","4240","108442402","15"
"8","0","5370","108553701","31"
"8","0","6420","108664201","2"
"8","0","7520","108775201","14"
"8","0","8610","108886101","11"
"9","0","1020","109110202","22"
"9","0","3160","109331602","11"
"9","0","5340","109553402","13"
"9","0","5360","109553601","2"
"9","0","6460","109664601","1"
"9","0","6480","109664801","14"
"9","0","8560","109885601","12"
"10","8","8610","110886101","2"
"10","0","2080","110220802","2"
"10","0","3180","110331802","12"
"10","0","4240","110442401","13"
"10","0","4280","110442801","14"
"10","0","7500","110775002","31"
"10","0","8550","110885501","11"
"10","0","8560","110885601","22"
"10","0","8620","110886201","1"
"11","8","8590","111885902","1"
"11","0","1010","111110101","3"
"11","0","1010","111110101","14"
"11","0","2060","111220601","13"
"11","0","3130","111331301","2"
"11","0","3170","111331702","16"
"11","0","4310","111443101","1"
"11","0","6410","111664101","4"
"11","0","6410","111664101","11"
"11","0","6440","111664402","12"
"12","8","8600","112886002","2"
"12","8","8610","112886101","54"
"12","8","8630","112886302","4"
"12","8","8630","112886301","4"
"12","0","1030","112110301","16"
"12","0","2060","112220601","53"
"12","0","2110","112221102","1"
"12","0","2110","112221102","52"
"12","0","3130","112331301","12"
"12","0","4250","112442501","2"
"12","0","6460","112664601","14"
"12","0","8600","112886002","13"
"13","8","8600","113886002","1"
"13","8","8600","113886001","2"
"13","8","8600","113886001","13"
"13","8","8630","113886301","23"
"13","0","1020","113110202","11"
"13","0","3130","113331302","14"
"13","0","4280","113442801","53"
"13","0","4290","113442901","2"
"13","0","4310","113443101","12"
"13","0","6420","113664201","13"
"13","0","7510","113775101","1"
"14","0","2100","114221001","2"
"14","0","3210","114332102","17"
"14","0","4310","114443102","51"
"14","0","6440","114664401","11"
"14","0","6480","114664802","14"
"14","0","7510","114775101","1"
"14","0","8550","114885502","13"
"14","0","8580","114885801","12"
"15","8","8630","115886301","13"
"15","0","2120","115221202","12"
"15","0","2120","115221202","63"
"15","0","3170","115331702","64"
"15","0","3210","115332101","17"
"15","0","3210","115332101","62"
"15","0","4240","115442401","14"
"15","0","4280","115442801","61"
