"ロボットコード","回","キャンパスコード","A/B","ロボット名","フリガナ"
"101220601","1","2060","","ツインスプリング＆スパイラルドラムウィンチ「ヤッタベ!!」号","ツインスプリングアンドスパイラルドラムウィンチヤッタベゴウ"
"101220801","1","2080","","ダッシュレーサー３５","ダッシュレーサーサンジュウゴ"
"101331301","1","3130","","ダム号","ダムゴウ"
"101331901","1","3190","","シャクトリマシーン・ラクンダー","シャクトリマシーンラクンダー"
"101442501","1","4250","","GO GO SEVEN号","ゴーゴーセブンゴウ"
"101442601","1","4260","","トライ＆ミス号","トライアンドミスゴウ"
"101443001","1","4300","","トミー88","トミーエイティエイト"
"101553601","1","5360","","恐怖の人間糸車大車輪1号","キョウフノニンゲンイトグルマダイシャリンイチゴウ"
"101554001","1","5400","","黒潮号","クロシオゴウ"
"101664101","1","6410","","GO号","ジーオーゴウ"
"101885501","1","8550","","人車一体北九州号","ジンシャイッタイキタキュウシュウゴウ"
"101885601","1","8560","","パッチンコロコロ","パッチンコロコロ"
"102110101","2","1010","","ビッグシューター","ビッグシューター"
"102110501","2","1050","","キュッキュッ号","キュッキュッゴウ"
"102220701","2","2070","","行け行け平八君","イケイケヘイハチクン"
"102221201","2","2120","","たこのデビット君","タコノデビットクン"
"102331301","2","3130","","だいろ号","ダイロゴウ"
"102331401","2","3140","","ビートル1","ビートルワン"
"102331801","2","3180","","スーパーホイール2号","スーパーホイールニゴウ"
"102331901","2","3190","","ペッタンロボ","ペッタンロボ"
"102442501","2","4250","","ランディングメカ","ランディングメカ"
"102443001","2","4300","","ダッシュエイティナイン","ダッシュエイティナイン"
"102443101","2","4310","","とよたえくすぷろーら","トヨタエクスプローラ"
"102443201","2","4320","","エスカル号","エスカルゴウ"
"102553401","2","5340","","Dunk君","ダンククン"
"102553701","2","5370","","舞子号","マイコゴウ"
"102664801","2","6480","","スコーピオン？","スコーピオン"
"102775101","2","7510","","C.K.1号","シーケーイチゴウ"
"102885601","2","8560","","コロコロスットン号","コロコロスットンゴウ"
"102885801","2","8580","","西海渦潮号","サイカイウズシオゴウ"
"102885901","2","8590","","先手必勝アーム付き破れバケツ号","センテヒッショウアームツキヤブレバケツゴウ"
"102886301","2","8630","","薩摩I.M.O","サツマアイエムオウ"
"103110101","3","1010","","マジックカーペット","マジックカーペット"
"103110201","3","1020","","玉の輿号","タマノコシゴウ"
"103110401","3","1040","","タイフーン","タイフーン"
"103110501","3","1050","","Ｓuper　Ｃarrier","スーパーキャリア"
"103220601","3","2060","","ニュートロンクリーナー「郭公」","ニュートロンクリーナーカッコウ"
"103220701","3","2070","","ガバチョ2号","ガバチョニゴウ"
"103220801","3","2080","","横綱　どすこい号","ヨコヅナドスコイゴウ"
"103220901","3","2090","","ガガンボ","ガガンボ"
"103221001","3","2100","","テト坊","テトボウ"
"103221101","3","2110","","とぶぞう","トブゾウ"
"103221201","3","2120","","ガガンボ","ガガンボ"
"103331301","3","3130","","ブラックホール号","ブラックホールゴウ"
